mac_address,gym,login,logout
76:e4:1b:f6:8f:cd,105,1767433888,1767440908
36:ac:71:c9:74:d1,102,1767466288,1767470848
cc:52:18:1d:bf:f2,109,1767430288,1767436588
12:59:7f:51:42:59,104,1767455488,1767459268
e6:8b:94:4b:ef:49,103,1767423088,1767428608
4c:f6:65:1e:9a:cb,105,1767437488,1767440548
3c:86:bc:cb:37:18,104,1767459088,1767466048
cc:4f:c7:35:88:50,105,1767408688,1767412708
c4:7d:9e:5e:01:f8,109,1767430288,1767434848
62:f9:a2:33:63:86,107,1767426688,1767432328
5a:4a:64:60:ec:cd,102,1767466288,1767468988
4e:f6:fc:74:2b:9f,106,1767448288,1767454288
fa:d5:2f:aa:c2:1f,105,1767394288,1767397348
54:65:f4:76:6a:59,107,1767405088,1767411628
ce:72:58:ef:a6:3c,110,1767397888,1767403588
86:b4:56:3e:0f:9c,104,1767415888,1767420928
44:d7:4d:f6:30:c1,110,1767423088,1767426448
3c:92:dd:d5:25:38,107,1767419488,1767425908
6a:c2:2e:4c:e0:b8,109,1767444688,1767447628
06:b6:41:fd:e5:df,107,1767444688,1767451228
ca:0b:2b:ed:0d:83,102,1767448288,1767454648
cc:6a:b7:37:ac:1f,110,1767459088,1767463048
78:aa:87:e5:21:88,103,1767441088,1767444028
d8:d0:38:c5:c9:b8,110,1767408688,1767412228
ac:6c:26:8f:0a:c8,104,1767426688,1767433528
8e:96:a5:83:26:08,102,1767426688,1767430528
62:68:91:c3:f4:fc,102,1767408688,1767412588
78:b4:55:d7:b4:0b,110,1767462688,1767465628
e0:1f:f9:00:fd:00,104,1767466288,1767471148
5a:0a:ad:60:3a:bf,106,1767455488,1767459388
da:93:1e:ff:85:36,101,1767444688,1767451528
7a:89:19:ff:7d:e2,102,1767412288,1767415828
2c:8b:0a:90:24:c5,110,1767433888,1767436768
c4:92:ac:5d:39:75,110,1767433888,1767439528
42:3b:03:b4:8d:10,107,1767455488,1767458608
6e:bb:31:92:31:34,107,1767405088,1767409528
ae:41:c4:c1:8d:6b,107,1767462688,1767466588
b6:90:79:da:76:97,102,1767441088,1767446908
82:35:72:2e:62:d6,106,1767469888,1767474028
34:c2:8e:1a:5a:bb,103,1767469888,1767472648
70:61:11:49:03:db,101,1767419488,1767424468
8a:b4:d8:fb:52:c5,103,1767426688,1767429988
50:cd:ac:66:a4:b6,104,1767455488,1767460588
60:bb:c5:4f:0c:15,104,1767433888,1767439888
08:c3:4c:41:a7:51,110,1767433888,1767440308
a0:e8:00:ea:a1:de,109,1767448288,1767452128
2c:16:03:80:69:b3,104,1767394288,1767400468
a0:e5:b4:5b:61:02,108,1767469888,1767476008
74:38:9e:2c:f7:81,103,1767466288,1767470068
5a:ca:eb:f1:21:cb,103,1767466288,1767473488
54:0a:bc:13:fb:e2,101,1767412288,1767416848
3c:86:f8:c1:8e:c2,101,1767437488,1767443428
4c:d1:34:60:f1:9b,102,1767448288,1767452548
cc:6b:7b:d8:6c:59,104,1767426688,1767433168
8a:48:f5:41:b8:54,105,1767437488,1767442468
62:73:28:80:13:03,105,1767444688,1767451468
7c:57:d2:2b:e1:73,108,1767455488,1767460048
24:a2:70:e8:48:1a,107,1767394288,1767399028
ac:85:99:e5:e0:1a,108,1767459088,1767464068
c4:27:b6:69:d5:bf,107,1767430288,1767435448
4c:d9:48:b8:3d:ca,107,1767466288,1767470128
20:f2:a3:53:02:4b,103,1767415888,1767422728
7c:fa:5b:9f:3f:a2,109,1767426688,1767433228
06:22:34:11:e9:83,108,1767423088,1767426148
48:b9:cd:1c:b9:aa,102,1767423088,1767429868
c6:4a:dc:23:4a:54,109,1767408688,1767413608
52:0b:51:9d:92:dc,106,1767401488,1767408568
0a:4c:4b:75:ab:e1,102,1767444688,1767448648
